COPY_MUT_PROB,DISABLE_REACTION_SENSORS,EVENT_FILE,RANDOM_SEED,REACTION_SENSORS_NEUTRAL,change_rate,changing_env,average_generation,equals,equals_all_update,equals_odd+even,equals_odd+even_update,equals_update,genome_length,lineage_length,match_score_all,match_score_even,match_score_odd,match_score_odd_even,phenotype_all,phenotype_even,phenotype_odd,phenotype_task_order,plastic_odd_even,plastic_odd_even_update
0.0025,1,events-const-00.cfg,1001,0.0,u0,0,30302.7,False,None,False,None,None,106,1779,3,7,1,8,100010100,100010100,100010100,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1002,0.0,u0,0,28413.7,True,118302,True,118302,118302,121,1639,4,8,2,10,100010101,100010101,100010101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1003,0.0,u0,0,62473.6,False,None,False,None,None,129,2247,2,6,2,8,100000100,100000100,100000100,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1004,0.0,u0,0,34737.8,True,127310,True,127310,127310,86,1064,6,8,2,10,111010101,111010101,111010101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1005,0.0,u0,0,38679.4,True,46660,True,46660,46660,112,1132,5,9,1,10,101010101,101010101,101010101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1006,0.0,u0,0,28830.7,True,30294,True,30294,30294,121,1260,5,9,1,10,101010101,101010101,101010101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1007,0.0,u0,0,27614.7,False,None,False,None,None,114,1329,4,8,0,8,101010100,101010100,101010100,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1008,0.0,u0,0,30518.7,False,None,False,None,None,104,837,4,8,0,8,101010100,101010100,101010100,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1009,0.0,u0,0,27740.8,False,None,False,None,None,120,1348,4,8,0,8,101010100,101010100,101010100,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1010,0.0,u0,0,24682.9,True,67304,True,67304,67304,118,911,5,9,1,10,101010101,101010101,101010101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1011,0.0,u0,0,28741.8,True,21220,True,21220,21220,120,1399,5,9,1,10,101010101,101010101,101010101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1012,0.0,u0,0,28722.7,False,None,False,None,None,113,1298,4,8,0,8,101010100,101010100,101010100,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1013,0.0,u0,0,29488.6,True,71790,True,71790,71790,119,1288,5,9,1,10,101010101,101010101,101010101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1014,0.0,u0,0,36806.5,False,None,False,None,None,103,1359,4,8,0,8,101010100,101010100,101010100,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-00.cfg,1015,0.0,u0,0,29199.5,True,132355,True,132355,132355,120,1304,5,9,1,10,101010101,101010101,101010101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
