COPY_MUT_PROB,DISABLE_REACTION_SENSORS,EVENT_FILE,RANDOM_SEED,REACTION_SENSORS_NEUTRAL,change_rate,changing_env,average_generation,equals,equals_all_update,equals_odd+even,equals_odd+even_update,equals_update,genome_length,lineage_length,match_score_all,match_score_even,match_score_odd,match_score_odd_even,phenotype_all,phenotype_even,phenotype_odd,phenotype_task_order,plastic_odd_even,plastic_odd_even_update
0.0025,1,events-const-all.cfg,2001,0.0,u0,0,23592,False,None,False,None,None,112,946,7,5,3,8,111111100,111111100,111111100,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2002,0.0,u0,0,16609.1,True,14264,True,14264,14264,100,574,9,5,5,10,111111111,111111111,111111111,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2003,0.0,u0,0,28000.4,True,175332,True,175332,175332,115,956,9,5,5,10,111111111,111111111,111111111,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2004,0.0,u0,0,31104.4,False,18110,False,18110,18110,110,1452,8,4,4,8,111111110,111111110,111111110,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2005,0.0,u0,0,32339,False,None,False,None,None,101,1391,7,5,3,8,111111100,111111100,111111100,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2006,0.0,u0,0,29923.6,True,135581,True,135581,135581,125,1390,9,5,5,10,111111111,111111111,111111111,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2007,0.0,u0,0,55496.9,False,None,False,None,None,113,1081,5,5,3,8,110110100,110110100,110110100,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2008,0.0,u0,0,30501.1,True,120839,True,120839,120839,107,967,8,6,4,10,111111101,111111101,111111101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2009,0.0,u0,0,21245.3,True,86182,True,86182,86182,112,870,9,5,5,10,111111111,111111111,111111111,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2010,0.0,u0,0,30938.6,True,134216,True,134216,134216,123,1134,8,4,6,10,110111111,110111111,110111111,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2011,0.0,u0,0,30815.2,True,54483,True,54483,54483,114,1084,8,6,4,10,111111101,111111101,111111101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
0.0025,1,events-const-all.cfg,2012,0.0,u0,0,28388.7,True,38338,True,38338,38338,112,1396,8,6,4,10,111111101,111111101,111111101,not;nand;and;ornot;or;andnot;nor;xor;equals,False,None
