COPY_MUT_PROB,DISABLE_REACTION_SENSORS,EVENT_FILE,PHYLOGENY_SNAPSHOT_RES,RANDOM_SEED,REACTION_SENSORS_NEUTRAL,average_generation,chg_env,deletion_mut_cnt,environment,genome_length,insertion_mut_cnt,lineage_length_genotypes,lineages_max_deleterious_steps,lineages_max_taxon_volatility,lineages_max_unique_taxa,lineages_mean_deleterious_steps,lineages_mean_taxon_volatility,lineages_mean_unique_taxa,lineages_min_deleterious_steps,lineages_min_taxon_volatility,lineages_min_unique_taxa,lineages_variance_deleterious_steps,lineages_variance_taxon_volatility,lineages_variance_unique_taxa,match_score_all,match_score_even,match_score_odd,match_score_odd_even,optimal_plastic,phenotype_all,phenotype_even,phenotype_odd,phenotype_task_order,phylo_ave_depth,phylo_current_phylogenetic_diversity,phylo_diversity,phylo_max_evolutionary_distinctiveness,phylo_max_pairwise_distance,phylo_mean_evolutionary_distinctiveness,phylo_mean_pairwise_distance,phylo_min_evolutionary_distinctiveness,phylo_min_pairwise_distance,phylo_mrca_changes,phylo_mrca_depth,phylo_num_roots,phylo_num_taxa_extant,phylo_num_taxa_tree,phylo_sum_pairwise_distance,phylo_total_orgs,phylo_variance_evolutionary_distinctiveness,phylo_variance_pairwise_distance,plastic_odd_even,substitution_mut_cnt,total_mut_cnt,update
0.0025,1,events-ALL-u0_phase-two.cfg,200000,21000,0.0,32099.1,False,40,all-u0_phase-two,112,40,1020,150,283,14,143.467,276.647,9.64252,140,269,9,3.53155,4.84013,0.659617,6,3,3,6,False,111111,111111,111111,not;nand;and;ornot;or;andnot,1025.06,3735,9.97859,1856.2,133,266.991,61.1631,20.8427,1,47,967,1,1684,3736,8.66733e+07,3600,22493.7,1156.56,False,996,1076,200000
0.0025,1,events-ALL-u0_phase-two.cfg,200000,21001,0.0,45241.7,False,108,all-u0_phase-two,81,107,589,121,230,20,115.033,221.198,16.7815,111,217,16,2.67758,4.182,0.602353,6,3,3,6,False,111111,111111,111111,not;nand;and;ornot;or;andnot,605.951,2605,9.41217,1238.87,104,314.847,26.787,23.2445,1,58,569,1,1469,2606,2.8883e+07,3600,41097.7,286.89,False,492,707,200000
0.0025,1,events-ALL-u0_phase-two.cfg,200000,21002,0.0,30478.7,False,25,all-u0_phase-two,119,34,821,128,245,25,122.444,236.359,20.9593,119,232,20,3.25193,5.97719,0.911955,6,3,3,6,False,111111,111111,111111,not;nand;and;ornot;or;andnot,835.004,3450,10.0002,1168.36,90,270.886,36.81,13.1255,1,36,800,1,1771,3451,5.76935e+07,3600,29891.5,208.367,False,806,865,200000
0.0025,1,events-ALL-u0_phase-two.cfg,200000,21003,0.0,27130.7,False,9,all-u0_phase-two,114,13,1130,142,274,18,134.246,264.658,12.8312,130,257,12,5.37248,13.1848,0.935358,6,3,3,6,False,111111,111111,111111,not;nand;and;ornot;or;andnot,1118.72,4286,10.1772,2004.48,195,286.178,124.141,46.9589,1,35,1033,1,1771,4287,1.9457e+08,3600,24668.3,2793.23,False,1162,1184,200000
0.0025,1,events-ALL-u0_phase-two.cfg,200000,21004,0.0,34240.3,False,380,all-u0_phase-two,107,384,1090,170,322,37,158.858,305.052,28.3864,153,298,26,15.3994,26.6675,8.90788,6,3,3,6,False,111111,111111,111111,not;nand;and;ornot;or;andnot,1097.01,4049,10.0933,1036.3,166,256.938,87.1225,29.6134,1,55,1032,1,1783,4050,1.38407e+08,3600,24055.7,2167.59,False,949,1713,200000
0.0025,1,events-ALL-u0_phase-two.cfg,200000,21005,0.0,32269.4,False,619,all-u0_phase-two,109,618,1266,208,395,36,201.762,383.332,32.6132,188,352,31,10.8453,56.1733,0.724311,6,3,3,6,False,111111,111111,111111,not;nand;and;ornot;or;andnot,1272.23,4698,10.2806,3186.96,473,233.95,95.3183,37.2363,1,37,1033,1,1864,4699,1.65503e+08,3600,28592.1,16310.6,False,1069,2306,200000
0.0025,1,events-ALL-u0_phase-two.cfg,200000,21006,0.0,28234.2,False,326,all-u0_phase-two,115,326,1395,225,415,51,212.593,400.252,38.2529,203,388,36,12.333,27.5462,4.04178,6,3,3,6,False,111111,111111,111111,not;nand;and;ornot;or;andnot,1396.75,5667,10.5294,1058.94,238,201.06,127.648,35.1477,1,46,1296,1,2052,5668,2.68612e+08,3600,13163,5220.73,False,1280,1932,200000
0.0025,1,events-ALL-u0_phase-two.cfg,200000,21007,0.0,30912.5,False,527,all-u0_phase-two,119,535,1473,236,460,41,228.241,450.17,33.9458,224,443,32,5.84317,13.0912,2.28335,6,3,3,6,False,111111,111111,111111,not;nand;and;ornot;or;andnot,1479.4,5438,10.4534,1100.67,137,196.658,78.0465,26.2038,1,55,1432,1,1991,5439,1.54614e+08,3600,12190.6,699.461,False,1354,2416,200000
0.0025,1,events-ALL-u0_phase-two.cfg,200000,21008,0.0,34472.1,False,30,all-u0_phase-two,108,28,805,137,255,23,130.329,246.282,18.5729,125,239,18,4.46036,11.1797,0.560012,6,3,3,6,False,111111,111111,111111,not;nand;and;ornot;or;andnot,807.569,3217,9.83008,6993.26,146,309.862,54.3793,23.7988,1,45,740,1,1611,3218,7.0522e+07,3600,77669.4,716.967,False,780,838,200000
0.0025,1,events-ALL-u0_phase-two.cfg,200000,21009,0.0,29583.3,False,677,all-u0_phase-two,116,679,1623,258,492,36,249.41,478.286,28.3112,242,469,27,9.5411,21.4993,2.28747,6,3,3,6,False,111111,111111,111111,not;nand;and;ornot;or;andnot,1640.24,5413,10.3328,2714.64,247,218.079,70.5055,25.1283,1,42,1531,1,1915,5414,1.29212e+08,3600,22757,1520.66,False,1404,2760,200000
0.0025,1,events-ALL-u0_phase-two.cfg,200000,21010,0.0,29337.5,False,76,all-u0_phase-two,96,53,1122,173,310,38,166.115,302.793,33.6419,162,297,31,3.6869,7.75411,2.25293,6,3,3,6,False,111111,111111,111111,not;nand;and;ornot;or;andnot,1134.43,3615,9.83685,1591.03,101,285.851,66.061,30.9107,1,41,1095,1,1561,3616,8.04346e+07,3600,31090.2,451.822,False,1095,1224,200000
